Page,Date of Post,Post Copy,Link,Post Type,Hour of Post,Time of Day,Shares,Reactions,Likes,Comments
Spartan Race,9/14/2016,When you realize he's only one medal away from earning his #Trifecta...,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153727477991861/?type=3,photo,23,Late Night,25,567,466,29
Spartan Race,9/15/2016,"Clif Bar athlete, Jon Albon, 2014 Spartan World champion... Returns to Lake Tahoe to take back the h…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153727606736861/?type=3,photo,0,Late Night,3,150,146,0
Spartan Race,9/15/2016,Coach Jodie Somers is live from Australia with a Spartan Stair Session for speed to help get you rea…,https://www.facebook.com/spartanrace/videos/10153727624686861/,video,0,Late Night,28,396,349,30
Spartan Race,9/15/2016,Only HOURS left. Use code SUMMER30 now to save 30% off in these final dog days of summer. TAG 3 FRIE…,http://sprtn.im/2crueZP,link,1,Late Night,7,48,47,6
Spartan Race,9/15/2016,What are your favorite memories from the 2015 Spartan World Championship in Lake Tahoe? Tell us in t…,http://sprtn.im/2bRa0p2,link,2,Late Night,4,51,50,12
Spartan Race,9/15/2016,"Them triceps tho. #SpartanTraining http://sprtn.im/WHYIRACE_2016

Photo cred:@adamwesterr",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153728766626861/?type=3,photo,14,Afternoon,8,287,273,7
Spartan Race,9/15/2016,"Every racer has a story, what's yours? #WHYIRACE http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153601740941861/?type=3,photo,14,Afternoon,63,604,560,24
Spartan Race,9/15/2016,"What are you capable of? #WHYIRACE #SpartanRace

http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153729078451861/?type=3,photo,17,Evening,90,677,642,4
Spartan Race,9/15/2016,Robert Killian endured 48 hours at Agoge 001 on the frozen tundra of Vermont starting his #RoadToTah…,https://www.facebook.com/spartanrace/videos/10153729290081861/,video,19,Evening,220,601,533,33
Spartan Race,9/15/2016,#tbt to an epic #SpartanRace #Trifecta weekend at the foothills of the Austrian Alps. #SpartanWorld,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153729532616861/?type=3,photo,20,Evening,4,351,333,4
Spartan Race,9/15/2016,What happens when you match some of the world's most well rounded athletes against each other? A who…,https://www.facebook.com/spartanrace/videos/10153729755101861/,video,22,Evening,67,471,442,11
Spartan Race,9/16/2016,The VTster's WOD! Check out Orla Vermontster Walsh's killer gym sweat sesh in VT! She'll be in Killi…,https://www.facebook.com/spartanrace/videos/10153729946331861/,video,0,Late Night,15,307,273,28
Spartan Race,9/16/2016,"Spartans return to the birth place of Spartan in Killington, Vermont.  If you want to experience one…",https://www.facebook.com/spartanrace/videos/10153731264716861/,video,14,Afternoon,126,449,424,29
Spartan Race,9/16/2016,"Coach Q WOD ""Let's hangout"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153731387646861/,video,15,Evening,30,301,272,51
Spartan Race,9/16/2016,#fbf to Robert Killian's first place finish at the 2015 Spartan World Championship in North Lake Tah…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153731480376861/?type=3,photo,16,Evening,2,222,215,1
Spartan Race,9/16/2016,"Welcome to the Birthplace of the Spartan Beast, Killington, VT. If you think youâ€™re among the badd…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153731714356861/?type=3,photo,18,Evening,290,714,655,90
Spartan Race,9/16/2016,"Spartan's first feature length film chronicles the participants from Agoge 001, in the frozen wilder…",https://www.facebook.com/spartanrace/videos/10153732021891861/,video,21,Evening,57,432,405,12
Spartan Race,9/16/2016,Your #SwoleMate is now just a swipe away. Weights N' Dates is a  #SpartanRace approved way to meet f…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153732276236861/?type=3,photo,22,Evening,14,342,309,24
Spartan Race,9/16/2016,We're less than 24 hours away from kicking off the 2016 #SpartanRace SoCal weekend at Pala Raceway j…,https://www.facebook.com/spartanrace/videos/10153732281671861/,video,22,Evening,169,614,564,86
Spartan Race,9/16/2016,"Welcome to the Birthplace of the #SpartanRace Beast, Killington, VT. If you think youâ€™re among the…",https://www.facebook.com/spartanrace/videos/10153732290511861/,video,22,Evening,109,626,579,29
Spartan Race,9/16/2016,Coach Jodie Somers is live from Australia with a Partner Workout for speed to get you pumped and rea…,https://www.facebook.com/spartanrace/videos/10153732373386861/,video,23,Late Night,37,408,364,35
Spartan Race,9/17/2016,Spartans return to SoCal this weekend for a Beast and Sprint. On this course you should expect more …,https://www.facebook.com/spartanrace/videos/10153732489621861/,video,1,Late Night,101,449,407,24
Spartan Race,9/17/2016,The Elite men kick off the Beast in Killington. #SpartanRace,https://www.facebook.com/spartanrace/videos/10153733372161861/,video,11,Morning,40,892,810,82
Spartan Race,9/17/2016,The elite women chase the beast in killington #spartanrace,https://www.facebook.com/spartanrace/videos/10153733398436861/,video,11,Morning,25,816,770,31
